# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  1                1.00000000E-05   1.15947115E+02   8.38137652E-01   1.60476046E-01   7.64404251E-04   5.15502030E-04   1.15539792E-93   4.80641611E-06   4.70032696E-05   2.72926986E-05  
  2                8.61574849E-05   1.37959917E+02   8.38137096E-01   1.60475939E-01   7.64402919E-04   5.15501132E-04   1.50393438E-78   4.80640774E-06   4.70031878E-05   2.72926511E-05  
  3                1.75647378E-04   1.52693216E+02   8.38134614E-01   1.60475464E-01   7.64397114E-04   5.15497217E-04   8.85779319E-71   4.80637124E-06   4.70028308E-05   2.72924438E-05  
  4                2.82986245E-04   1.62027935E+02   8.38089258E-01   1.60466780E-01   7.64374417E-04   5.15481911E-04   1.32043150E-66   4.80622853E-06   4.70014352E-05   2.72916335E-05  
  5                4.12696169E-04   1.71992986E+02   8.38137856E-01   1.60476085E-01   7.64278408E-04   5.15417164E-04   1.24052629E-62   4.80562484E-06   4.69955316E-05   2.72882055E-05  
  6                5.70171312E-04   1.77780167E+02   8.38023971E-01   1.60454279E-01   7.64449330E-04   5.15532431E-04   1.47943405E-60   4.80669956E-06   4.70060416E-05   2.72943082E-05  
  7                7.61746547E-04   1.85554762E+02   8.37647896E-01   1.60382273E-01   7.64181095E-04   5.15351537E-04   6.03684441E-58   4.80501295E-06   4.69895478E-05   2.72847310E-05  
  8                9.94942690E-04   1.90330867E+02   8.38136769E-01   1.60475876E-01   7.65007028E-04   5.15908533E-04   1.81036969E-56   4.81020625E-06   4.70403344E-05   2.73142205E-05  
  9                1.27919314E-03   1.97421286E+02   8.38136769E-01   1.60475876E-01   7.65007038E-04   5.15908540E-04   2.21228679E-54   4.81020631E-06   4.70403351E-05   2.73142209E-05  
  10               1.62580508E-03   2.01925850E+02   8.38136769E-01   1.60475876E-01   7.65007047E-04   5.15908546E-04   3.76254696E-53   4.81020637E-06   4.70403357E-05   2.73142212E-05  
