Wavelength (nm)               Solar flux (mW/m^2/nm)        
5.000000e-02                  2.315320e-06                  
1.000000e-01                  1.017068e-05                  
1.500000e-01                  3.799014e-05                  
2.000000e-01                  1.223060e-04                  
2.500000e-01                  3.483981e-04                  
3.000000e-01                  9.032721e-04                  
3.500000e-01                  2.188388e-03                  
4.000000e-01                  5.029649e-03                  
4.500000e-01                  1.088472e-02                  
5.000000e-01                  2.151557e-02                  
5.500000e-01                  3.738731e-02                  
6.000000e-01                  5.566310e-02                  
6.500000e-01                  7.127694e-02                  
7.000000e-01                  8.263070e-02                  
7.500000e-01                  9.704050e-02                  
8.000000e-01                  1.285922e-01                  
8.500000e-01                  1.861427e-01                  
9.000000e-01                  2.596263e-01                  
9.500000e-01                  3.239304e-01                  
1.000000e+00                  3.646856e-01                  
1.050000e+00                  3.966564e-01                  
1.100000e+00                  4.516361e-01                  
1.150000e+00                  5.558573e-01                  
1.200000e+00                  7.207238e-01                  
1.250000e+00                  9.388937e-01                  
1.300000e+00                  1.180508e+00                  
1.350000e+00                  1.415674e+00                  
1.400000e+00                  1.659303e+00                  
1.450000e+00                  1.966358e+00                  
1.500000e+00                  2.348927e+00                  
1.550000e+00                  2.729158e+00                  
1.600000e+00                  3.014937e+00                  
1.650000e+00                  3.203038e+00                  
1.700000e+00                  3.371636e+00                  
1.750000e+00                  3.564250e+00                  
1.800000e+00                  3.683687e+00                  
1.850000e+00                  3.551597e+00                  
1.900000e+00                  3.166610e+00                  
1.950000e+00                  2.929429e+00                  
2.000000e+00                  3.502597e+00                  
2.050000e+00                  5.186239e+00                  
2.100000e+00                  7.241489e+00                  
2.150000e+00                  8.165554e+00                  
2.200000e+00                  7.110770e+00                  
2.250000e+00                  4.796175e+00                  
2.300000e+00                  2.664524e+00                  
2.350000e+00                  1.501666e+00                  
2.400000e+00                  1.145128e+00                  
2.450000e+00                  1.086860e+00                  
2.500000e+00                  1.002400e+00                  
2.550000e+00                  8.534664e-01                  
2.600000e+00                  7.315714e-01                  
2.650000e+00                  7.110205e-01                  
2.700000e+00                  8.292889e-01                  
2.750000e+00                  1.094355e+00                  
2.800000e+00                  1.430584e+00                  
2.850000e+00                  1.670747e+00                  
2.900000e+00                  1.681466e+00                  
2.950000e+00                  1.480712e+00                  
3.000000e+00                  1.199205e+00                  
3.050000e+00                  9.643607e-01                  
3.100000e+00                  8.566901e-01                  
3.150000e+00                  9.504989e-01                  
3.200000e+00                  1.338145e+00                  
3.250000e+00                  2.028413e+00                  
3.300000e+00                  2.780173e+00                  
3.350000e+00                  3.163467e+00                  
3.400000e+00                  2.941195e+00                  
3.450000e+00                  2.315320e+00                  
3.500000e+00                  1.684528e+00                  
3.550000e+00                  1.263034e+00                  
3.600000e+00                  1.019082e+00                  
3.650000e+00                  8.501622e-01                  
3.700000e+00                  7.127533e-01                  
3.750000e+00                  6.428802e-01                  
3.800000e+00                  7.579330e-01                  
3.850000e+00                  1.285035e+00                  
3.900000e+00                  2.508740e+00                  
3.950000e+00                  4.441330e+00                  
4.000000e+00                  6.395518e+00                  
4.050000e+00                  7.222228e+00                  
4.100000e+00                  6.392456e+00                  
4.150000e+00                  4.627738e+00                  
4.200000e+00                  3.120431e+00                  
4.250000e+00                  2.425408e+00                  
4.300000e+00                  2.342318e+00                  
4.350000e+00                  2.470137e+00                  
4.400000e+00                  2.559029e+00                  
4.450000e+00                  2.543394e+00                  
4.500000e+00                  2.505597e+00                  
4.550000e+00                  2.591508e+00                  
4.600000e+00                  2.835459e+00                  
4.650000e+00                  3.077798e+00                  
4.700000e+00                  3.119948e+00                  
4.750000e+00                  2.932008e+00                  
4.800000e+00                  2.683624e+00                  
4.850000e+00                  2.627290e+00                  
4.900000e+00                  2.948690e+00                  
4.950000e+00                  3.605835e+00                  
5.000000e+00                  4.235901e+00                  
5.050000e+00                  4.356386e+00                  
5.100000e+00                  3.834232e+00                  
5.150000e+00                  3.055474e+00                  
5.200000e+00                  2.478760e+00                  
5.250000e+00                  2.194110e+00                  
5.300000e+00                  2.080395e+00                  
5.350000e+00                  2.178959e+00                  
5.400000e+00                  2.684994e+00                  
5.450000e+00                  3.626708e+00                  
5.500000e+00                  4.662554e+00                  
5.550000e+00                  5.266025e+00                  
5.600000e+00                  5.177696e+00                  
5.650000e+00                  4.599612e+00                  
5.700000e+00                  3.869048e+00                  
5.750000e+00                  3.112614e+00                  
5.800000e+00                  2.353440e+00                  
5.850000e+00                  1.753273e+00                  
5.900000e+00                  1.546878e+00                  
5.950000e+00                  1.814281e+00                  
6.000000e+00                  2.421217e+00                  
6.050000e+00                  3.127443e+00                  
6.100000e+00                  3.708267e+00                  
6.150000e+00                  4.029990e+00                  
6.200000e+00                  4.083502e+00                  
6.250000e+00                  3.952541e+00                  
6.300000e+00                  3.722210e+00                  
6.350000e+00                  3.425954e+00                  
6.400000e+00                  3.089887e+00                  
6.450000e+00                  2.787104e+00                  
6.500000e+00                  2.609077e+00                  
6.550000e+00                  2.599406e+00                  
6.600000e+00                  2.730770e+00                  
6.650000e+00                  2.920322e+00                  
6.700000e+00                  3.065790e+00                  
6.750000e+00                  3.124622e+00                  
6.800000e+00                  3.201426e+00                  
6.850000e+00                  3.485592e+00                  
6.900000e+00                  4.012985e+00                  
6.950000e+00                  4.550934e+00                  
7.000000e+00                  4.819063e+00                  
7.050000e+00                  4.776591e+00                  
7.100000e+00                  4.632010e+00                  
7.150000e+00                  4.607026e+00                  
7.200000e+00                  4.714294e+00                  
7.250000e+00                  4.774174e+00                  
7.300000e+00                  4.661990e+00                  
7.350000e+00                  4.467361e+00                  
