T(K)  P(bar)     e-           H2           H            H+           H-           H2-          H2+          H3+          He           H2O          CH4          CO           NH3          N2           PH3          H2S          TiO          VO           Fe           FeH          CrH          Na           K            Rb           atCs         CO2          HCN          C2H2         C2H4         C2H6         SiO          MgH          COS          Li           LiOH         LiH          LiCl         OH           C-gr         Li+          LiF          C            O            Mg           Mg+          Si           Fe+          Ti           Ti+          C+        
  75.0  -6.000   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   8.2804e-23   3.0259e-04   1.0000e-50   7.2385e-05   1.4280e-44   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -5.523   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   2.7601e-23   3.0259e-04   1.0000e-50   7.2385e-05   1.5867e-45   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -5.000   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   8.2804e-24   3.0259e-04   1.0000e-50   7.2385e-05   1.4280e-46   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -4.523   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   2.7601e-24   3.0259e-04   1.0000e-50   7.2386e-05   1.5867e-47   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -4.000   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   8.2804e-25   3.0259e-04   1.0000e-50   7.2385e-05   1.4280e-48   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -3.523   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   2.7601e-25   3.0259e-04   1.0000e-50   7.2386e-05   1.5867e-49   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -3.000   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   8.2804e-26   3.0259e-04   1.0000e-50   7.2385e-05   1.4280e-50   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -2.523   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   2.7601e-26   3.0259e-04   1.0000e-50   7.2385e-05   1.0000e-50   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -2.000   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   8.2804e-27   3.0259e-04   1.0000e-50   7.2385e-05   1.0000e-50   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
  75.0  -1.523   1.0000e-50   8.3294e-01   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.6616e-01   2.7601e-27   3.0259e-04   1.0000e-50   7.2386e-05   1.0000e-50   1.0000e-50   1.3540e-05   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50   1.0000e-50
