   Wavenu Wavelen  kap100   kap198   kap296 del/al
    1/cm    nm     1/km-am  1/km-am  1/km-am K^1/2

    1800  5554.04  8.15E-2  2.06E+0  2.27E+1  1118
    1805  5538.66  6.81E-2  1.54E+0  1.82E+1  1099
    1810  5523.36  1.28E-1  9.21E-1  9.30E+0   424
    1815  5508.14  5.32E-2  1.26E+0  1.63E+1   756
    1820  5493.01  5.62E-2  1.17E+0  1.49E+1  1061
    1825  5477.96  7.40E-2  8.92E-1  1.05E+1   824
    1830  5462.99  6.03E-2  9.26E-1  1.16E+1   905
    1835  5448.11  6.56E-2  1.48E+0  1.76E+1  1757
    1840  5433.30  5.51E-2  1.44E+0  1.82E+1  1546
    1845  5418.58  4.91E-2  7.07E-1  8.86E+0   931
    1850  5403.93  4.12E-2  8.79E-1  1.15E+1  1484
    1855  5389.37  2.82E-2  8.44E-1  1.32E+1  1253
    1860  5374.88  4.41E-2  4.53E-1  5.62E+0   982
    1865  5360.47  3.37E-2  5.81E-1  8.00E+0  1913
    1870  5346.14  1.97E-2  5.73E-1  9.91E+0  1442
    1875  5331.88  3.54E-2  3.14E-1  3.99E+0   877
    1880  5317.70  1.91E-2  4.43E-1  7.06E+0  2002
    1885  5303.59  1.34E-2  4.42E-1  8.53E+0  1824
    1890  5289.56  3.52E-2  2.32E-1  2.98E+0   722
    1895  5275.61  1.51E-2  2.90E-1  4.74E+0  1489
    1900  5261.72  1.40E-2  3.04E-1  5.64E+0  2628
    1905  5247.91  4.60E-2  1.63E-1  1.84E+0  1192
    1910  5234.18  3.12E-2  1.77E-1  2.20E+0  1205
    1915  5220.51  1.79E-2  2.16E-1  3.50E+0  2630
    1920  5206.91  3.55E-2  1.81E-1  2.14E+0  4133
    1925  5193.39  4.41E-2  1.11E-1  1.14E+0   941
    1930  5179.94  1.57E-2  1.56E-1  2.61E+0  1937
    1935  5166.55  2.59E-2  1.56E-1  2.13E+0  4381
    1940  5153.23  3.98E-2  7.64E-2  7.22E-1  1581
    1945  5139.99  1.94E-2  9.98E-2  1.50E+0  1824
    1950  5126.81  2.33E-2  9.26E-2  1.22E+0  3380
    1955  5113.70  2.81E-2  5.37E-2  4.78E-1  3421
    1960  5100.65  2.05E-2  6.49E-2  8.46E-1  2482
    1965  5087.67  2.10E-2  6.30E-2  7.86E-1  3960
    1970  5074.76  2.85E-2  5.92E-2  4.98E-1 20432
    1975  5061.91  1.93E-2  5.12E-2  6.36E-1 10133
    1980  5049.13  1.68E-2  4.66E-2  6.06E-1  8702
    1985  5036.41  1.51E-2  3.35E-2  3.33E-1 22773
    1990  5023.76  1.33E-2  3.20E-2  3.89E-1 20904
    1995  5011.17  1.15E-2  2.83E-2  3.70E-1 20758
    2000  4998.64  7.50E-3  1.60E-2  1.66E-1 21057
    2005  4986.17  6.80E-3  1.51E-2  1.81E-1 21104
    2010  4973.77  5.40E-3  1.21E-2  1.44E-1 20897
    2015  4961.43  4.10E-3  8.60E-3  8.18E-2 21054
    2020  4949.15  4.00E-3  8.70E-3  9.74E-2 20788
    2025  4936.93  3.40E-3  7.30E-3  7.89E-2 20974
    2030  4924.77  5.30E-3  7.80E-3  2.59E-2 21210
    2035  4912.67  3.30E-3  6.90E-3  6.90E-2 20964
    2040  4900.62  3.00E-3  6.40E-3  6.41E-2 20885
    2045  4888.64  4.90E-3  1.00E-2  8.74E-2 20584
    2050  4876.72  5.20E-3  1.06E-2  9.27E-2 20531
    2055  4864.85  1.26E-2  2.59E-2  2.03E-1 21285
    2060  4853.05  1.28E-2  2.57E-2  1.92E-1 21262
    2065  4841.30  3.09E-2  6.42E-2  3.93E-1 18369
    2070  4829.60  3.34E-2  7.20E-2  4.43E-1 16082
    2075  4817.96  4.97E-2  1.21E-1  6.30E-1  7882
    2080  4806.38  6.99E-2  2.15E-1  9.47E-1  3138
    2085  4794.86  8.05E-2  2.15E-1  8.82E-1  4274
    2090  4783.38  1.20E-1  3.84E-1  1.30E+0  2392
    2095  4771.97  1.35E-1  3.86E-1  1.23E+0  2918
    2100  4760.61  2.28E-1  6.68E-1  1.74E+0  2470
    2105  4749.30  2.82E-1  7.55E-1  1.81E+0  2335
    2110  4738.04  4.13E-1  1.13E+0  2.33E+0  2405
    2115  4726.84  8.25E-1  2.32E+0  3.97E+0  1867
    2120  4715.70  8.80E-1  1.87E+0  2.93E+0  3178
    2125  4704.60  1.28E+0  2.76E+0  3.90E+0  2159
    2130  4693.56  1.61E+0  2.89E+0  3.65E+0  3263
    2135  4682.56  2.42E+0  3.80E+0  4.16E+0  4675
    2140  4671.62  5.08E+0  7.19E+0  7.00E+0  2949
    2145  4660.73  4.11E+0  4.89E+0  4.50E+0  5627
    2150  4649.90  5.39E+0  5.46E+0  4.66E+0  4352
    2155  4639.11  5.99E+0  5.56E+0  4.36E+0  4888
    2160  4628.37  7.83E+0  5.52E+0  4.03E+0  7843
    2165  4617.68  1.74E+1  8.87E+0  6.20E+0  4788
    2170  4607.04  7.73E+0  4.58E+0  3.27E+0  7205
    2175  4596.45  4.91E+0  2.98E+0  2.26E+0  6515
    2180  4585.91  7.34E+0  3.57E+0  3.17E+0  3343
    2185  4575.41  2.13E+0  1.52E+0  2.12E+0  1241
    2190  4564.97  1.23E+0  1.61E+0  3.10E+0   488
    2195  4554.57  1.67E+1  1.51E+1  2.05E+1   860
    2200  4544.22  3.27E+1  2.65E+1  2.62E+1  2146
    2205  4533.91  5.34E+0  3.23E+0  3.65E+0  3269
    2210  4523.65  1.57E+0  9.90E-1  1.60E+0  1212
    2215  4513.44  2.44E+0  1.47E+0  2.08E+0  1721
    2220  4503.28  9.73E+0  4.10E+0  3.61E+0  2147
    2225  4493.16  6.94E+0  3.51E+0  3.61E+0  1570
    2230  4483.08  6.60E+0  3.65E+0  5.04E+0  1286
    2235  4473.05  1.89E+1  8.50E+0  8.71E+0  1597
    2240  4463.07  1.58E+1  9.24E+0  8.56E+0  1764
    2245  4453.13  8.35E+0  6.27E+0  6.28E+0  1784
    2250  4443.23  1.05E+1  9.47E+0  1.06E+1  1498
    2255  4433.38  1.00E+1  1.04E+1  1.47E+1  1063
    2260  4423.57  3.74E+0  5.61E+0  9.51E+0  1445
    2265  4413.81  4.77E+0  7.06E+0  9.01E+0  1120
    2270  4404.08  5.48E+0  9.64E+0  1.32E+1   910
    2275  4394.41  2.98E+0  6.64E+0  1.44E+1   831
    2280  4384.77  2.59E+0  4.87E+0  1.05E+1   665
    2285  4375.17  1.95E+0  3.98E+0  7.55E+0   515
    2290  4365.62  1.51E+0  3.60E+0  7.75E+0   587
    2295  4356.11  5.49E-1  3.37E+0  1.32E+1   734
    2300  4346.64  3.04E-1  2.74E+0  1.40E+1   787
    2305  4337.21  3.88E-1  2.08E+0  9.01E+0   697
    2310  4327.82  1.13E+0  3.21E+0  8.74E+0   361
    2315  4318.48  4.55E+0  7.68E+0  1.47E+1   367
    2320  4309.17  2.25E+0  7.96E+0  2.41E+1   722
    2325  4299.90  2.61E-1  3.33E+0  2.13E+1  1423
    2330  4290.68  3.28E-1  2.09E+0  1.03E+1  1747
    2335  4281.49  3.88E+0  2.12E+0  4.42E+0   952
    2340  4272.34  3.63E+0  1.12E+1  3.03E+1  1946
    2345  4263.23  2.09E+0  1.23E+1  4.69E+1  1004
    2350  4254.16  4.53E+0  6.69E+0  1.47E+1   853
    2355  4245.13  5.32E+0  3.76E+0  7.59E+0  1034
    2360  4236.13  7.03E+0  2.04E+1  4.68E+1  2905
    2365  4227.18  4.60E+0  2.62E+1  8.30E+1   849
    2370  4218.26  2.53E+0  1.12E+1  3.12E+1   921
    2375  4209.38  1.59E+0  3.36E+0  8.97E+0   438
    2380  4200.54  1.54E+0  5.13E+0  1.50E+1   572
    2385  4191.73  3.49E+0  2.32E+1  6.50E+1   946
    2390  4182.96  2.89E+0  2.24E+1  6.31E+1  1177
    2395  4174.23  7.28E-1  5.05E+0  1.96E+1   651
    2400  4165.53  5.50E-1  6.50E+0  3.12E+1   753
    2405  4156.87  5.16E+0  3.79E+1  1.23E+2  1527
    2410  4148.25  7.04E+0  4.94E+1  1.39E+2   968
    2415  4139.66  1.43E+0  1.17E+1  4.44E+1   639
    2420  4131.10  8.52E-1  9.14E+0  3.92E+1   762
    2425  4122.59  9.54E+0  4.35E+1  1.11E+2  1620
    2430  4114.10  2.05E+1  8.91E+1  1.82E+2  1426
    2435  4105.66  7.31E+0  3.20E+1  8.21E+1   847
    2440  4097.24  3.39E+0  2.25E+1  7.10E+1   694
    2445  4088.86  5.05E+0  3.18E+1  9.26E+1   898
    2450  4080.52  2.34E+1  7.41E+1  1.49E+2  1312
    2455  4072.21  3.00E+1  9.82E+1  1.83E+2   939
    2460  4063.93  7.32E+0  3.99E+1  1.06E+2   555
    2465  4055.69  6.48E+0  4.17E+1  1.13E+2   552
    2470  4047.48  4.34E+1  1.21E+2  2.14E+2   850
    2475  4039.30  9.14E+1  2.49E+2  3.85E+2   906
    2480  4031.16  2.79E+1  1.10E+2  2.14E+2   697
    2485  4023.05  8.29E+0  3.88E+1  9.43E+1   615
    2490  4014.97  4.64E+1  9.51E+1  1.78E+2   829
    2495  4006.92  8.46E+1  1.88E+2  2.79E+2   537
    2500  3998.91  4.00E+1  1.17E+2  1.86E+2   468
    2505  3990.93  2.32E+1  7.61E+1  1.44E+2   606
    2510  3982.98  1.28E+2  1.92E+2  2.76E+2   867
    2515  3975.06  2.14E+2  3.30E+2  4.65E+2   649
    2520  3967.17  4.43E+1  8.67E+1  1.57E+2   455
    2525  3959.32  9.22E+1  1.62E+2  2.40E+2   460
    2530  3951.49  1.43E+2  2.37E+2  3.17E+2   476
    2535  3943.70  1.29E+2  1.97E+2  2.72E+2   482
    2540  3935.93  1.63E+2  2.28E+2  2.96E+2   555
    2545  3928.20  3.01E+2  3.19E+2  3.57E+2   652
    2550  3920.50  2.78E+2  3.75E+2  4.51E+2   489
    2555  3912.83  2.90E+2  3.67E+2  4.41E+2   515
    2560  3905.18  6.38E+2  5.87E+2  5.98E+2   578
    2565  3897.57  4.56E+2  5.14E+2  6.02E+2   460
    2570  3889.99  3.68E+2  4.26E+2  4.99E+2   475
    2575  3882.44  3.34E+2  3.92E+2  4.51E+2   371
    2580  3874.91  4.74E+2  4.89E+2  5.11E+2   263
    2585  3867.42  5.11E+2  4.61E+2  4.71E+2   279
    2590  3859.95  1.93E+2  2.50E+2  3.70E+2   280
    2595  3852.51  1.84E+2  3.46E+2  6.14E+2   244
    2600  3845.10  8.31E+2  1.20E+3  1.42E+3   253
    2605  3837.72  1.29E+3  9.04E+2  7.28E+2   360
    2610  3830.37  8.68E+2  4.38E+2  3.15E+2   639
    2615  3823.05  9.47E+2  4.34E+2  3.48E+2   754
    2620  3815.75  6.33E+2  3.77E+2  3.67E+2   563
    2625  3808.49  5.02E+2  3.58E+2  3.56E+2   486
    2630  3801.24  7.29E+2  6.34E+2  6.51E+2   377
    2635  3794.03  7.82E+2  8.10E+2  9.02E+2   288
    2640  3786.85  3.55E+2  5.19E+2  8.08E+2   209
    2645  3779.69  2.92E+2  4.21E+2  7.31E+2   216
    2650  3772.56  6.01E+2  5.46E+2  7.38E+2   322
    2655  3765.45  8.30E+2  6.45E+2  7.24E+2   376
    2660  3758.37  5.78E+2  4.72E+2  4.78E+2   390
    2665  3751.32  3.30E+2  4.86E+2  6.21E+2   378
    2670  3744.30  3.83E+2  6.68E+2  9.30E+2   335
    2675  3737.30  6.54E+2  7.34E+2  8.04E+2   332
    2680  3730.33  4.24E+2  8.99E+2  1.26E+3   276
    2685  3723.38  1.41E+2  3.93E+2  7.70E+2   280
    2690  3716.46  2.93E+2  4.25E+2  6.80E+2   363
    2695  3709.56  4.50E+2  8.61E+2  1.30E+3   357
    2700  3702.69  1.18E+2  4.17E+2  9.07E+2   259
    2705  3695.85  9.43E+1  2.80E+2  6.13E+2   270
    2710  3689.03  2.51E+2  5.38E+2  1.01E+3   354
    2715  3682.24  2.00E+2  4.76E+2  9.00E+2   278
