file_number,temperature_K,pressure_bar,number_wave_pts,delta_wavenumber,start_wavenumber
1,75.0,1e-06,10921760,0.0035040143299999997,30.0
2,75.0,3e-06,10921760,0.0035040143299999997,30.0
3,75.0,1e-05,10921760,0.0035040143299999997,30.0
4,75.0,3e-05,10921760,0.0035040143299999997,30.0
5,75.0,0.0001,10921760,0.0035040143299999997,30.0
6,75.0,0.0003,10921760,0.0035040143299999997,30.0
7,75.0,0.001,10921760,0.0035040143299999997,30.0
8,75.0,0.003,10921760,0.0035040143299999997,30.0
9,75.0,0.01,10921760,0.0035040143299999997,30.0
10,75.0,0.03,10921760,0.0035040143299999997,30.0
11,75.0,0.1,9888321,0.00387022265,30.0
12,75.0,0.3,3296108,0.011610666770000002,30.0
13,75.0,1.0,988833,0.03870222647,30.0
14,75.0,3.0,329612,0.11610656198,30.0
15,75.0,10.0,98884,0.38702304744000005,30.0
16,75.0,30.0,76541,0.5,30.0
17,75.0,100.0,76541,0.5,30.0
18,75.0,300.0,76541,0.5,30.0
19,75.0,1000.0,76541,0.5,30.0
20,75.0,3000.0,76541,0.5,30.0
21,100.0,1e-06,9458522,0.004046087120000001,30.0
22,100.0,3e-06,9458522,0.004046087120000001,30.0
23,100.0,1e-05,9458522,0.004046087120000001,30.0
24,100.0,3e-05,9458522,0.004046087120000001,30.0
25,100.0,0.0001,9458522,0.004046087120000001,30.0
26,100.0,0.0003,9458522,0.004046087120000001,30.0
27,100.0,0.001,9458522,0.004046087120000001,30.0
28,100.0,0.003,9458522,0.004046087120000001,30.0
29,100.0,0.01,9458522,0.004046087120000001,30.0
30,100.0,0.03,9458522,0.004046087120000001,30.0
31,100.0,0.1,9458522,0.004046087120000001,30.0
32,100.0,0.3,4031424,0.00949292595,30.0
33,100.0,1.0,1209428,0.03164308387,30.0
34,100.0,3.0,403143,0.09492933011,30.0
35,100.0,10.0,120944,0.31643005383,30.0
36,100.0,30.0,76541,0.5,30.0
37,100.0,100.0,76541,0.5,30.0
38,100.0,300.0,76541,0.5,30.0
39,100.0,1000.0,76541,0.5,30.0
40,100.0,3000.0,76541,0.5,30.0
41,110.0,1e-06,9018347,0.0042435719399999995,30.0
42,110.0,3e-06,9018347,0.0042435719399999995,30.0
43,110.0,1e-05,9018347,0.0042435719399999995,30.0
44,110.0,3e-05,9018347,0.0042435719399999995,30.0
45,110.0,0.0001,9018347,0.0042435719399999995,30.0
46,110.0,0.0003,9018347,0.0042435719399999995,30.0
47,110.0,0.001,9018347,0.0042435719399999995,30.0
48,110.0,0.003,9018347,0.0042435719399999995,30.0
49,110.0,0.01,9018347,0.0042435719399999995,30.0
50,110.0,0.03,9018347,0.0042435719399999995,30.0
51,110.0,0.1,9018347,0.0042435719399999995,30.0
52,110.0,0.3,4309564,0.00888025074,30.0
53,110.0,1.0,1292870,0.0296008335,30.0
54,110.0,3.0,430957,0.08880256917000001,30.0
55,110.0,10.0,129288,0.296008106,30.0
56,110.0,30.0,76541,0.5,30.0
57,110.0,100.0,76541,0.5,30.0
58,110.0,300.0,76541,0.5,30.0
59,110.0,1000.0,76541,0.5,30.0
60,110.0,3000.0,76541,0.5,30.0
61,120.0,1e-06,8634410,0.0044322663,30.0
62,120.0,3e-06,8634410,0.0044322663,30.0
63,120.0,1e-05,8634410,0.0044322663,30.0
64,120.0,3e-05,8634410,0.0044322663,30.0
65,120.0,0.0001,8634410,0.0044322663,30.0
66,120.0,0.0003,8634410,0.0044322663,30.0
67,120.0,0.001,8634410,0.0044322663,30.0
68,120.0,0.003,8634410,0.0044322663,30.0
69,120.0,0.01,8634410,0.0044322663,30.0
70,120.0,0.03,8634410,0.0044322663,30.0
71,120.0,0.1,8634410,0.0044322663,30.0
72,120.0,0.3,4580209,0.00835551573,30.0
73,120.0,1.0,1374064,0.02785170695,30.0
74,120.0,3.0,458022,0.08355512084,30.0
75,120.0,10.0,137407,0.27851767754,30.0
76,120.0,30.0,76541,0.5,30.0
77,120.0,100.0,76541,0.5,30.0
78,120.0,300.0,76541,0.5,30.0
79,120.0,1000.0,76541,0.5,30.0
80,120.0,3000.0,76541,0.5,30.0
81,130.0,1e-06,8295673,0.00461324893,30.0
82,130.0,3e-06,8295673,0.00461324893,30.0
83,130.0,1e-05,8295673,0.00461324893,30.0
84,130.0,3e-05,8295673,0.00461324893,30.0
85,130.0,0.0001,8295673,0.00461324893,30.0
86,130.0,0.0003,8295673,0.00461324893,30.0
87,130.0,0.001,8295673,0.00461324893,30.0
88,130.0,0.003,8295673,0.00461324893,30.0
89,130.0,0.01,8295673,0.00461324893,30.0
90,130.0,0.03,8295673,0.00461324893,30.0
91,130.0,0.1,8295673,0.00461324893,30.0
92,130.0,0.3,4844164,0.007900229620000001,30.0
93,130.0,1.0,1453250,0.02633409691,30.0
94,130.0,3.0,484417,0.07900234509,30.0
95,130.0,10.0,145326,0.26334078789,30.0
96,130.0,30.0,76541,0.5,30.0
97,130.0,100.0,76541,0.5,30.0
98,130.0,300.0,76541,0.5,30.0
99,130.0,1000.0,76541,0.5,30.0
100,130.0,3000.0,76541,0.5,30.0
101,140.0,1e-06,7993910,0.004787395,30.0
102,140.0,3e-06,7993910,0.004787395,30.0
103,140.0,1e-05,7993910,0.004787395,30.0
104,140.0,3e-05,7993910,0.004787395,30.0
105,140.0,0.0001,7993910,0.004787395,30.0
106,140.0,0.0003,7993910,0.004787395,30.0
107,140.0,0.001,7993910,0.004787395,30.0
108,140.0,0.003,7993910,0.004787395,30.0
109,140.0,0.01,7993910,0.004787395,30.0
110,140.0,0.03,7993910,0.004787395,30.0
111,140.0,0.1,7993910,0.004787395,30.0
112,140.0,0.3,5102090,0.00750084916,30.0
113,140.0,1.0,1530628,0.025002825640000004,30.0
114,140.0,3.0,510210,0.07500847692000001,30.0
115,140.0,10.0,153064,0.25002776634,30.0
116,140.0,30.0,76541,0.5,30.0
117,140.0,100.0,76541,0.5,30.0
118,140.0,300.0,76541,0.5,30.0
119,140.0,1000.0,76541,0.5,30.0
120,140.0,3000.0,76541,0.5,30.0
121,150.0,1e-06,7722851,0.00495542449,30.0
122,150.0,3e-06,7722851,0.00495542449,30.0
123,150.0,1e-05,7722851,0.00495542449,30.0
124,150.0,3e-05,7722851,0.00495542449,30.0
125,150.0,0.0001,7722851,0.00495542449,30.0
126,150.0,0.0003,7722851,0.00495542449,30.0
127,150.0,0.001,7722851,0.00495542449,30.0
128,150.0,0.003,7722851,0.00495542449,30.0
129,150.0,0.01,7722851,0.00495542449,30.0
130,150.0,0.03,7722851,0.00495542449,30.0
131,150.0,0.1,7722851,0.00495542449,30.0
132,150.0,0.3,5354542,0.00714720459,30.0
133,150.0,1.0,1606363,0.02382401974,30.0
134,150.0,3.0,535455,0.07147205922000001,30.0
135,150.0,10.0,160637,0.23824049404,30.0
136,150.0,30.0,76541,0.5,30.0
137,150.0,100.0,76541,0.5,30.0
138,150.0,300.0,76541,0.5,30.0
139,150.0,1000.0,76541,0.5,30.0
140,150.0,3000.0,76541,0.5,30.0
141,160.0,1e-06,7477618,0.00511794065,30.0
142,160.0,3e-06,7477618,0.00511794065,30.0
143,160.0,1e-05,7477618,0.00511794065,30.0
144,160.0,3e-05,7477618,0.00511794065,30.0
145,160.0,0.0001,7477618,0.00511794065,30.0
146,160.0,0.0003,7477618,0.00511794065,30.0
