   i   micron.    wavenumber idum     idum1    idum2     idum3
   1   227.531     43.95     30.80-   57.10    26.300    43.950
   2   138.793     72.05     57.10-   87.00    29.900    72.050
   3    97.752    102.30     87.00-  117.60    30.600   102.300
   4    73.692    135.70    117.60-  153.80    36.200   135.700
   5    53.879    185.60    153.80-  217.40    63.600   185.600
   6    42.212    236.90    217.40-  256.40    39.000   236.900
   7    35.753    279.70    256.40-  303.00    46.600   279.700
   8    29.700    336.70    303.00-  370.40    67.400   336.700
   9    24.839    402.60    370.40-  434.80    64.400   402.600
  10    21.395    467.40    434.80-  500.00    65.200   467.400
  11    19.382    515.95    500.00-  531.90    31.900   515.950
  12    18.180    550.05    531.90-  568.20    36.300   550.050
  13    16.978    589.00    568.20-  609.80    41.600   589.000
  14    15.777    633.85    609.80-  657.90    48.100   633.850
  15    14.575    686.10    657.90-  714.30    56.400   686.100
  16    13.588    735.95    714.30-  757.60    43.300   735.950
  17    12.787    782.05    757.60-  806.50    48.900   782.050
  18    11.986    834.30    806.50-  862.10    55.600   834.300
  19    11.292    885.60    862.10-  909.10    47.000   885.600
  20    10.692    935.30    909.10-  961.50    52.400   935.300
  21    10.091    990.95    961.50- 1020.40    58.900   990.950
  22     9.648   1036.50   1020.40- 1052.60    32.200  1036.500
  23     9.348   1069.80   1052.60- 1087.00    34.400  1069.800
  24     8.995   1111.70   1087.00- 1136.40    49.400  1111.700
  25     8.673   1153.00   1136.40- 1169.60    33.200  1153.000
  26     8.345   1198.30   1169.60- 1227.00    57.400  1198.300
  27     8.074   1238.50   1227.00- 1250.00    23.000  1238.500
  28     7.904   1265.20   1250.00- 1280.40    30.400  1265.200
  29     7.714   1296.35   1280.40- 1312.30    31.900  1296.350
  30     7.498   1333.65   1312.30- 1355.00    42.700  1333.650
  31     7.284   1372.90   1355.00- 1390.80    35.800  1372.900
  32     7.094   1409.70   1390.80- 1428.60    37.800  1409.700
  33     6.873   1455.05   1428.60- 1481.50    52.900  1455.050
  34     6.664   1500.65   1481.50- 1519.80    38.300  1500.650
  35     6.515   1534.85   1519.80- 1549.90    30.100  1534.850
  36     6.297   1587.95   1549.90- 1626.00    76.100  1587.950
  37     6.064   1649.10   1626.00- 1672.20    46.200  1649.100
  38     5.899   1695.20   1672.20- 1718.20    46.000  1695.200
  39     5.759   1736.30   1718.20- 1754.40    36.200  1736.300
  40     5.572   1794.65   1754.40- 1834.90    80.500  1794.650
